lat,lng,iso2,city_ascii,admin_name
10.3564,77.9516,IN,Pallappatti,Tamil Nādu
43.1848,13.7955,IT,Porto San Giorgio,Marche
43.2167,141.5167,JP,Tobetsu,Hokkaidō
18.4901,98.6747,TH,Chom Thong,Chiang Mai
44.6611,24.2606,RO,Dragasani,Vâlcea
40.6322,73.5925,KG,Kara-Kulja,Osh
39.4343,-76.6516,US,Mays Chapel,Maryland
18.2500,-94.7667,MX,Tatahuicapan,Veracruz
52.8598,-3.0538,GB,Oswestry,Shropshire
25.5273,85.4182,IN,Jurawanpur Karari,Bihār
-32.9953,-71.1856,CL,Olmue,Valparaíso
39.2070,-2.1604,ES,La Roda,Castille-La Mancha
24.8637,85.8584,IN,Dewangarh,Bihār
35.5833,100.7500,CN,Mangqu,Qinghai
57.6500,12.1333,SE,Molnlycke,Västra Götaland
17.0964,81.8812,IN,Narendrapatnam,Andhra Pradesh
16.3052,80.6182,IN,Kolakaluru,Andhra Pradesh
-30.3000,27.0833,ZA,Zastron,Free State
16.3333,81.7333,IN,Antarvedi,Andhra Pradesh
53.1167,13.5000,DE,Templin,Brandenburg
8.2461,77.4907,IN,Chembagaramanpudur,Tamil Nādu
14.6249,121.0865,PH,Calumpang,Marikina
23.2216,79.9917,IN,Bilpura,Madhya Pradesh
51.4590,0.1380,GB,Bexleyheath,Bexley
51.4120,0.0750,GB,Chislehurst,Bromley
37.2944,13.5272,IT,Porto Empedocle,Sicilia
51.1458,34.3117,UA,Bilopillya,Sumska Oblast
10.9731,124.9622,PH,Julita,Leyte
43.6167,10.6333,IT,Ponsacco,Tuscany
50.2314,7.5908,DE,Boppard,Rhineland-Palatinate
33.1969,6.7053,DZ,Mouiat Ouennsa,El Oued
40.7478,-73.0840,US,Sayville,New York
26.3037,84.8581,IN,Sundarpur,Bihār
45.8900,8.4081,IT,Crusinallo,Piedmont
28.0189,110.0025,CN,Dalanping,Hunan
52.1833,7.0333,DE,Epe,North Rhine-Westphalia
39.6952,140.9758,JP,Shizukuishi,Iwate
12.5087,75.0558,IN,Chengala,Kerala
30.4882,75.1013,IN,Bhagta,Punjab
